id,source,freesound_id,name,username,license,duration,tags,description,audio_url,local_path,audio_id,file_name,file_path,category,query,source_api,source_url,audio_download_url,created,resolved_path,exists,duration_numeric,duration_status
,,,male voices forest NL171104_1233.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,29.653,"Dutch,Netherlands,ambience,ambient,field-recording,forest,male,man,pass,passing,run,running,voice,woods",,,,audio_0350,audio_0350.mp3,..\..\data\raw\audio\audio_0350.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/608314/,https://cdn.freesound.org/previews/608/608314_1648170-hq.mp3,2021-11-12T06:35:51Z,..\..\data\raw\audio\audio_0350.mp3,True,29.653,known
,,,edge forest 735AM 210221_0257.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,15.3626,"Holland,Loonse-en-Drunense-Duinen,Netherlands,ambiance,ambience,ambient,atmospheric,background-sound,bird,birds,birdsong,chorus,dawn,dawn-chorus,early,edge,field,field-recording,forest,garden,general-noise,morning,nature,park,spring,van-gogh-nationaal-park,white-noise,woods",,,,audio_0351,audio_0351.mp3,..\..\data\raw\audio\audio_0351.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/619325/,https://cdn.freesound.org/previews/619/619325_1648170-hq.mp3,2022-02-12T17:50:17Z,..\..\data\raw\audio\audio_0351.mp3,True,15.3626,known
,,,amb_forest_crickets.wav,Dokuta_Gerovv,http://creativecommons.org/publicdomain/zero/1.0/,14.4853,"ambience,ambient,atmosphere,crickets,fie,field-recording,forest,greece,kilkis,nature",,,,audio_0352,audio_0352.mp3,..\..\data\raw\audio\audio_0352.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/Dokuta_Gerovv/sounds/662090/,https://cdn.freesound.org/previews/662/662090_11310256-hq.mp3,2022-12-01T08:50:08Z,..\..\data\raw\audio\audio_0352.mp3,True,14.4853,known
,,,Kampina forest spring001 190322_1321.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,22.47,"Netherlands,ambience,ambient,background-sound,birds,calm,fen,field-recording,forest,general-noise,insects,kampina,lake,marsh,mere,nature,pool,relaxing,spring,van-gogh-nationaal-park,white-noise,woodland,woods",,,,audio_0353,audio_0353.mp3,..\..\data\raw\audio\audio_0353.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/464477/,https://cdn.freesound.org/previews/464/464477_1648170-hq.mp3,2019-03-24T20:11:07Z,..\..\data\raw\audio\audio_0353.mp3,True,22.47,known
,,,pine forest Kampina NL 02 190908_0072.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,29.5101,"Netherlands,North-Brabant,September,ambience,ambient,autumn,background-sound,bird,birds,calm,daytime,field-recording,forest,general-noise,kampina,song,van-gogh-nationaal-park,white-noise,wind,woods",,,,audio_0354,audio_0354.mp3,..\..\data\raw\audio\audio_0354.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/485371/,https://cdn.freesound.org/previews/485/485371_1648170-hq.mp3,2019-09-18T16:31:29Z,..\..\data\raw\audio\audio_0354.mp3,True,29.5101,known
,,,pine forest Kampina NL 01 190908_0072.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,14.7551,"September,ambience,ambient,autumn,background-sound,bird,birds,field-recording,forest,general-noise,kampina,song,van-gogh-nationaal-park,white-noise,wind,woods",,,,audio_0355,audio_0355.mp3,..\..\data\raw\audio\audio_0355.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/484811/,https://cdn.freesound.org/previews/484/484811_1648170-hq.mp3,2019-09-15T07:31:46Z,..\..\data\raw\audio\audio_0355.mp3,True,14.7551,known
,,,Kampina forest spring007 190322_1321.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,29.4919,"Holland,Kampina,Netherlands,ambiance,ambience,ambient,background-sound,birds,calm,fen,field-recording,forest,general-noise,insects,lake,marsh,mere,nature,nature-ambience,pool,relaxing,soundscape,spring,van-gogh-nationaal-park,white-noise,woodland,woods",,,,audio_0356,audio_0356.mp3,..\..\data\raw\audio\audio_0356.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/467418/,https://cdn.freesound.org/previews/467/467418_1648170-hq.mp3,2019-04-25T10:29:23Z,..\..\data\raw\audio\audio_0356.mp3,True,29.4919,known
,,,edge forest 704AM 210221_0257.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,26.5301,"Holland,Loonse-en-Drunense-Duinen,Netherlands,ambience,ambient,atmospheric,background-sound,bird,birdsong,chorus,corona,corona-virus,dawn,dawn-chorus,early,edge,field,field-recording,forest,garden,general-noise,morning,nature,park,van-gogh-nationaal-park,white-noise,woods",,,,audio_0357,audio_0357.mp3,..\..\data\raw\audio\audio_0357.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/560287/,https://cdn.freesound.org/previews/560/560287_1648170-hq.mp3,2021-02-24T11:08:59Z,..\..\data\raw\audio\audio_0357.mp3,True,26.5301,known
,,,Happy Forest Ambience.wav,DeanOBamos,http://creativecommons.org/publicdomain/zero/1.0/,7.98612,"Ambience,Forest,Urban",,,,audio_0358,audio_0358.mp3,..\..\data\raw\audio\audio_0358.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/DeanOBamos/sounds/496512/,https://cdn.freesound.org/previews/496/496512_10754627-hq.mp3,2019-12-10T06:10:19Z,..\..\data\raw\audio\audio_0358.mp3,True,7.98612,known
,,,AMBForst_Forest Birds Wind 01_KVV AUDIO_FREE,KVV_Audio,https://creativecommons.org/licenses/by/4.0/,30.0,"Ambience,Birds,Breeze,Calm,Chirping,Daytime,Environment,Forest,Leaves,Natural,Nature,Outdoors,Peaceful,Relaxing,Rural,Scenic,Trees,Wilderness,Wind,Woodland",,,,audio_0359,audio_0359.mp3,..\..\data\raw\audio\audio_0359.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/KVV_Audio/sounds/800712/,https://cdn.freesound.org/previews/800/800712_12846320-hq.mp3,2025-04-22T19:01:43Z,..\..\data\raw\audio\audio_0359.mp3,True,30.0,known
,,,Ambience_Forest.wav,ConnorM94,http://creativecommons.org/licenses/by/3.0/,9.79311,"Ambience,Birds,Forest",,,,audio_0360,audio_0360.mp3,..\..\data\raw\audio\audio_0360.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/ConnorM94/sounds/386869/,https://cdn.freesound.org/previews/386/386869_7239271-hq.mp3,2017-04-01T21:03:12Z,..\..\data\raw\audio\audio_0360.mp3,True,9.79311,known
,,,park forest farmland 12.23 PM 220503_0341,klankbeeld,https://creativecommons.org/licenses/by/4.0/,26.2313,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,field-recording,fields,forest,general-noise,nature,park,pasture,pond,soundscape,white-noise",,,,audio_0361,audio_0361.mp3,..\..\data\raw\audio\audio_0361.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/698356/,https://cdn.freesound.org/previews/698/698356_1648170-hq.mp3,2023-08-04T05:34:13Z,..\..\data\raw\audio\audio_0361.mp3,True,26.2313,known
,,,fields 1231 PM 220503_0341.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,21.8203,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,farmland,field,field-recording,fields,forest,general-noise,grazing,nature,park,pasture,soundscape,white-noise",,,,audio_0362,audio_0362.mp3,..\..\data\raw\audio\audio_0362.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/634226/,https://cdn.freesound.org/previews/634/634226_1648170-hq.mp3,2022-05-16T06:17:06Z,..\..\data\raw\audio\audio_0362.mp3,True,21.8203,known
,,,forest farmland 008 220503_0341.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,14.6589,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,farmland,field,field-recording,fields,forest,general-noise,grazing,nature,park,pasture,soundscape,white-noise",,,,audio_0363,audio_0363.mp3,..\..\data\raw\audio\audio_0363.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/632754/,https://cdn.freesound.org/previews/632/632754_1648170-hq.mp3,2022-05-09T17:15:58Z,..\..\data\raw\audio\audio_0363.mp3,True,14.6589,known
,,,forest farmland 001 220503_0341.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,14.8545,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,farmland,field,field-recording,fields,forest,general-noise,grazing,nature,park,pasture,soundscape,white-noise",,,,audio_0364,audio_0364.mp3,..\..\data\raw\audio\audio_0364.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/632346/,https://cdn.freesound.org/previews/632/632346_1648170-hq.mp3,2022-05-05T18:34:44Z,..\..\data\raw\audio\audio_0364.mp3,True,14.8545,known
