image_id,file_name,file_path,category,query,source_api,source_url,image_download_url,photographer,width,height,license,tags,date_taken,quality_status,resolved_path,exists,is_valid_image,aspect_ratio,mode
img_0002,img_0002.jpg,..\..\data\raw\images\img_0002.jpg,alice,Alice in Wonderland blue dress illustration,Pexels,https://www.pexels.com/photo/woman-wearing-grey-dress-holding-book-771323/,https://images.pexels.com/photos/771323/pexels-photo-771323.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,Min An,650,650,Pexels License,,,unreviewed,..\..\data\raw\images\img_0002.jpg,True,True,1.0,RGB
img_0007,img_0007.jpg,..\..\data\raw\images\img_0007.jpg,alice,Alice in Wonderland blue dress illustration,Pexels,https://www.pexels.com/photo/close-up-shot-of-cards-on-a-concrete-surface-6145306/,https://images.pexels.com/photos/6145306/pexels-photo-6145306.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,June,650,650,Pexels License,,,unreviewed,..\..\data\raw\images\img_0007.jpg,True,True,1.0,RGB
img_0015,img_0015.jpg,..\..\data\raw\images\img_0015.jpg,alice,Alice in Wonderland blue dress illustration,Flickr,https://www.flickr.com/photos/24678924@N08/8159270801,https://live.staticflickr.com/7108/8159270801_50cddc9954_c.jpg,,592,800,0,pink blue woman white black cute rabbit bunny love girl japan pencil hair bag toy design sketch donna outfit eyes ribbons doll pretty child dress boots cosplay sweet drawing blu alice oneofakind ooak gothic carina picture barbie rosa sugar occhi dolce lolita corona bow kawaii locks crown ribbon wonderland borsa bianco nero amore bows giappone matita disegno softtoy ragazza peluche capelli fiocco coniglio bambola zucchero bambina coniglietto stivali nastri schizzo boccoli giocattolo vestito meraviglie,,unreviewed,..\..\data\raw\images\img_0015.jpg,True,True,1.3513513513513513,RGB
img_0018,img_0018.jpg,..\..\data\raw\images\img_0018.jpg,alice,Alice in Wonderland blue dress illustration,Flickr,https://www.flickr.com/photos/53737352@N05/9288733697,https://live.staticflickr.com/5550/9288733697_6e2de77c30_b.jpg,,682,1023,0,set sketch outfit doll dress handmade drawing lewis clothes carroll blythe draft,,unreviewed,..\..\data\raw\images\img_0018.jpg,True,True,1.5,RGB
img_0022,img_0022.jpg,..\..\data\raw\images\img_0022.jpg,alice,Alice in Wonderland blue dress illustration,Flickr,https://www.flickr.com/photos/53737352@N05/9288732089,https://live.staticflickr.com/3788/9288732089_146a5a8fb9_b.jpg,,682,1023,0,set sketch outfit doll dress handmade drawing lewis clothes carroll blythe draft,,unreviewed,..\..\data\raw\images\img_0022.jpg,True,True,1.5,RGB
img_0023,img_0023.jpg,..\..\data\raw\images\img_0023.jpg,alice,Alice in Wonderland blue dress illustration,Flickr,https://www.flickr.com/photos/73880405@N07/7190166338,https://live.staticflickr.com/5448/7190166338_2c3a86285b_z.jpg,,620,460,0,new blue party abbey monster angel dead skull outfit high cool artwork wolf doll dolls glow hand dress tales you handmade 5 alice character secret magic style dot frankie made pack jade blond funk colored forever ha cleo wonderland shores dolla stein extra bratz lagoona gorgeaus cindirella meygan yelps ghoulia clawdeen draculaura bominable snowbite reddeadriddingwolf,,unreviewed,..\..\data\raw\images\img_0023.jpg,True,True,1.3478260869565217,RGB
img_0025,img_0025.jpg,..\..\data\raw\images\img_0025.jpg,alice,Alice in Wonderland blue dress illustration,Flickr,https://www.flickr.com/photos/63763677@N06/5960488663,https://live.staticflickr.com/6141/5960488663_d234daf2dd_b.jpg,,997,1024,0,,,unreviewed,..\..\data\raw\images\img_0025.jpg,True,True,1.0270812437311936,RGB
img_0026,img_0026.jpg,..\..\data\raw\images\img_0026.jpg,alice,Alice in Wonderland blue dress illustration,Flickr,https://www.flickr.com/photos/44505016@N05/4093876337,https://live.staticflickr.com/2736/4093876337_29c111e186_b.jpg,,931,1024,0,cute art halloween mushroom animal animals cake painting children tea alice gothic surreal fantasy badger teapot teacup whimsical aliceinwonderland,,unreviewed,..\..\data\raw\images\img_0026.jpg,True,True,1.099892588614393,RGB
img_0027,img_0027.jpg,..\..\data\raw\images\img_0027.jpg,alice,Alice in Wonderland blue dress illustration,Flickr,https://www.flickr.com/photos/73880405@N07/7190174920,https://live.staticflickr.com/7241/7190174920_ba36fd95db_c.jpg,,597,800,0,new blue party abbey monster angel dead skull outfit high cool artwork wolf doll dolls glow hand dress you handmade 5 alice character secret magic style dot frankie made pack jade blond funk forever ha cleo wonderland shores dolla extra bratz lagoona gorgeaus meygan yelps ghoulia clawdeen draculaura bominable,,unreviewed,..\..\data\raw\images\img_0027.jpg,True,True,1.340033500837521,RGB
img_0028,img_0028.jpg,..\..\data\raw\images\img_0028.jpg,alice,Alice in Wonderland blue dress illustration,Flickr,https://www.flickr.com/photos/38694766@N06/4587390796,https://live.staticflickr.com/4023/4587390796_590b5d1b8b_z.jpg,,600,600,0,blue red yellow dress alice jasmine disney bow blonde wonderland shocked,,unreviewed,..\..\data\raw\images\img_0028.jpg,True,True,1.0,RGB
