fragment_id,scene_label,emotion,texture_path
fragment_0000,rabbit_hole,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0000.png
fragment_0001,rabbit_hole,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0001.png
fragment_0002,rabbit_hole,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0002.png
fragment_0003,dream_fall,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0003.png
fragment_0004,dream_fall,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0004.png
fragment_0005,rabbit_hole,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0005.png
fragment_0006,dream_fall,dreamlike,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\dreamlike\fragment_0006.png
fragment_0007,corridor,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0007.png
fragment_0008,corridor,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0008.png
fragment_0009,corridor,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0009.png
fragment_0010,transformation,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0010.png
fragment_0011,corridor,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0011.png
fragment_0012,transformation,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0012.png
fragment_0013,transformation,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0013.png
fragment_0014,unknown,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0014.png
fragment_0015,transformation,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0015.png
fragment_0016,transformation,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0016.png
fragment_0017,transformation,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0017.png
fragment_0018,transformation,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0018.png
fragment_0019,corridor,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0019.png
fragment_0020,corridor,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0020.png
fragment_0021,dream_fall,dreamlike,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\dreamlike\fragment_0021.png
fragment_0022,nonsense,absurd,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\absurd\fragment_0022.png
fragment_0023,dream_fall,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0023.png
fragment_0024,rabbit_hole,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0024.png
fragment_0025,transformation,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0025.png
fragment_0026,dream_fall,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0026.png
fragment_0027,dream_fall,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0027.png
fragment_0028,nonsense,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0028.png
fragment_0029,rabbit_hole,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0029.png
fragment_0030,nonsense,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0030.png
fragment_0031,nonsense,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0031.png
fragment_0032,dream_fall,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0032.png
fragment_0033,nonsense,absurd,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\absurd\fragment_0033.png
fragment_0034,nonsense,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0034.png
fragment_0035,nonsense,absurd,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\absurd\fragment_0035.png
fragment_0036,nonsense,absurd,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\absurd\fragment_0036.png
fragment_0037,nonsense,playful,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\playful\fragment_0037.png
fragment_0038,nonsense,absurd,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\absurd\fragment_0038.png
fragment_0039,nonsense,chaotic,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\chaotic\fragment_0039.png
fragment_0040,tea_party,absurd,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\absurd\fragment_0040.png
fragment_0041,court,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0041.png
fragment_0042,court,tense,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\tense\fragment_0042.png
fragment_0043,nonsense,absurd,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\absurd\fragment_0043.png
fragment_0044,nonsense,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0044.png
fragment_0045,rabbit_hole,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0045.png
fragment_0046,transformation,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0046.png
fragment_0047,rabbit_hole,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0047.png
fragment_0048,corridor,anxious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\anxious\fragment_0048.png
fragment_0049,transformation,curious,D:\Work\Workspace\Projects\Python\data-driven-surface\data\textures\curious\fragment_0049.png
