term,mean_tfidf
alice,0.09968727882990781
queen,0.04029300173265907
time,0.03622577122394017
king,0.03575162743840153
gryphon,0.0322476797096021
turtle,0.032055288980667986
hatter,0.03170455716789028
say,0.03163740368790227
rabbit,0.031183667676239233
mock,0.030466407699952142
mock turtle,0.030466407699952142
head,0.030351467057626938
duchess,0.029477988572872593
mouse,0.028243286678672097
dormouse,0.02599208526111769
great,0.024860786541111728
tone,0.023573830382522098
cat,0.02293899825140996
large,0.021485711942993046
look,0.020730468853301893
day,0.020650358153617734
door,0.020645711544144754
poor,0.020394972319952104
looking,0.02027251393478785
long,0.020053242103737726
caterpillar,0.02005321519363281
moment,0.019742110150594946
march,0.019625042813244203
white,0.01961787722534499
eyes,0.01945941038005091
